iso_code,continent,location,population,world_population,people_vaccinated,total_vaccination,dose_nr_avg,total_boosers,total_cases,total_deaths,population_over_64,population_over_69,extreme_poverty_rate,life_exp,handwashing_fac_rate,cardiov_deaths_per100k,male_smokers_perc,female_smokers_perc,gdp_per_capita
CUB,North America,Cuba,"11,212,198.00","8,045,247,353.00","10,790,799.00","45,895,312.00",4,"8,785,864.00","1,115,043.00","8,530.00",14.74,9.72, -   ,78.8,85.2,190.97,53.3,17.1, -   
ALB,Europe,Albania,"2,842,318.00","8,045,247,353.00","1,349,255.00","3,088,966.00",2,"402,371.00","334,863.00","3,605.00",13.19,8.64,1.1,78.57, -   ,304.2,51.2,7.1,"6,377.20"
CPV,Africa,Cape Verde,"593,162.00","8,045,247,353.00","356,734.00","859,940.00",2,749,"64,474.00",417,4.46,3.44, -   ,72.98, -   ,182.22,16.5,2.1,"3,398.17"
AUT,Europe,Austria,"8,939,617.00","8,045,247,353.00","6,899,873.00","20,468,731.00",3,"5,405,966.00","6,081,287.00","22,534.00",19.2,13.75,0.7,81.54, -   ,145.18,30.9,28.4,"53,517.89"
ARM,Asia,Armenia,"2,780,472.00","8,045,247,353.00","1,150,915.00","2,256,919.00",2,"81,354.00","451,426.00","8,775.00",11.23,7.57,1.8,75.09,94.04,341.01,52.1,1.5,"4,972.78"
ASM,Oceania,American Samoa,"44,295.00","8,045,247,353.00", -   , -   , NULL , -   ,"8,359.00",34, -   , -   , -   ,73.74, -   ,283.75, -   , -   ,"16,653.71"
ABW,North America,Aruba,"106,459.00","8,045,247,353.00","90,545.00","174,913.00",2, -   ,"44,224.00",292,13.09,7.45, -   ,76.29, -   , -   , -   , -   ,"29,127.76"
ATG,North America,Antigua and Barbuda,"93,772.00","8,045,247,353.00","64,290.00","136,512.00",2,"9,838.00","9,106.00",146,6.93,4.63, -   ,77.02, -   ,191.51, -   , -   ,"17,178.54"
BRN,Asia,Brunei,"449,002.00","8,045,247,353.00","451,149.00","1,293,100.00",3,"340,466.00","342,802.00",178,4.59,2.38, -   ,75.86, -   ,201.29,30.9,2,"31,448.91"
AGO,Africa,Angola,"35,588,996.00","8,045,247,353.00","16,522,932.00","27,722,924.00",2,"3,014,421.00","107,084.00","1,937.00",2.41,1.36, -   ,61.15,26.66,276.05, -   , -   ,"1,927.47"
BHR,Asia,Bahrain,"1,472,237.00","8,045,247,353.00","1,241,174.00","3,476,633.00",3,"1,008,663.00","696,614.00","1,536.00",2.37,1.39, -   ,77.29, -   ,151.69,37.6,5.8,"26,850.00"
BWA,Africa,Botswana,"2,630,300.00","8,045,247,353.00","1,951,054.00","3,171,667.00",2,"507,654.00","330,417.00","2,800.00",3.94,2.24, -   ,69.59, -   ,237.37,34.4,5.7,"7,238.80"
BRB,North America,Barbados,"281,646.00","8,045,247,353.00","163,853.00","381,743.00",2,"62,845.00","110,375.00",593,14.95,9.47, -   ,79.19,88.47,170.05,14.5,1.9,"17,507.47"
BTN,Asia,Bhutan,"782,457.00","8,045,247,353.00","699,116.00","2,011,426.00",3,"634,641.00","62,697.00",21,4.89,2.98,1.5,71.78,79.81,217.07, -   , -   ,"3,560.20"
AND,Europe,Andorra,"79,843.00","8,045,247,353.00","57,913.00","157,072.00",3,"43,071.00","48,015.00",159, -   , -   , -   ,83.73, -   ,109.14,37.8,29,"42,072.32"
ARG,South America,Argentina,"45,510,324.00","8,045,247,353.00","41,529,058.00","116,978,521.00",3,"37,713,094.00","10,094,643.00","130,733.00",11.2,7.44,0.6,76.67, -   ,191.03,27.7,16.2,"10,650.86"
BMU,North America,Bermuda,"64,207.00","8,045,247,353.00","48,554.00","132,042.00",3,"35,831.00","18,860.00",165, -   , -   , -   ,82.59, -   ,139.55, -   , -   ,"111,774.67"
CUW,North America,Curacao,"191,173.00","8,045,247,353.00","108,601.00","260,324.00",2,"49,213.00","45,883.00",305,16.37,10.07, -   ,78.88, -   , -   , -   , -   ,"17,980.00"
DJI,Africa,Djibouti,"1,120,851.00","8,045,247,353.00","421,573.00","442,199.00",1, -   ,"15,690.00",189,4.21,2.38,22.5,67.11, -   ,258.04,24.5,1.7,"3,062.55"
BDI,Africa,Burundi,"12,889,583.00","8,045,247,353.00","36,909.00","41,538.00",1,314,"54,546.00",15,2.56,1.5,71.7,61.58,6.14,293.07, -   , -   ,221.16
CYM,North America,Cayman Islands,"68,722.00","8,045,247,353.00","62,113.00","151,970.00",2,"24,064.00","31,472.00",37, -   , -   , -   ,83.92, -   , -   , -   , -   ,"88,475.60"
AUS,Oceania,Australia,"26,177,410.00","8,045,247,353.00","22,231,734.00","69,306,345.00",3,"19,790,466.00","11,769,858.00","24,566.00",15.5,10.13,0.5,83.44, -   ,107.79,16.5,13,"60,697.25"
